username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
allenwood5907,,0,6,False,False,0,,11,0.0,0.0
itsme_sandhy,,154,679,False,False,0,,8,58.0,3.0
de_ruski,,45,68,False,False,0,,11,8.909090909090908,0.9090909090909091
asyrafrohadi,General Interest,640,775,False,False,3,,28,79.58333333333333,1.8333333333333333
qeelors._,Creators & Celebrities,725,611,False,False,1,http://gallivant.com/,5,206.0,5.0
fo2jette,,157,242,False,False,0,http://fo2jette.dk/,200,49.083333333333336,1.25
aanirudh.kheterpal,,216,412,False,True,0,,6,0,0
_sayurikato,,115,130,False,True,0,,1,0,0
athenah.a,,668,1130,False,True,0,,3,0,0
edw_private,Creators & Celebrities,10782,1503,False,False,8,https://www.youtube.com/channel/UC1BNpEE1nkUwvH1BBizM4vA,571,252.83333333333334,4.416666666666667
mianjav1,,112,275,False,True,0,,8,0,0
napat_t1,,573,538,False,True,0,,69,0,0
laurent.brutsch,,291,512,False,True,0,,5,0,0
albie.aguilar,,283,281,False,False,0,,0,0,0
dongyeon.jin,,377,414,False,True,0,,5,0,0
angiebuyong,,524,540,False,False,18,,2096,20.833333333333332,1.0
zgaio,,1080,991,False,True,0,,4,0,0
thedmgroupplug,Personal Goods & General Merchandise Stores,336,4984,False,False,0,,4,91.75,42.0
cajamrc,,1875,1103,False,False,4,,94,311.0833333333333,25.5
sarvasv.art,,111,134,False,False,0,http://sarvasvkulpati.github.io/,4,62.5,1.5
giulia.db14,,383,564,False,True,0,,36,0,0
meghna546,,489,491,False,True,0,,174,0,0
ethanwhitmore,,326,1462,False,True,0,,34,0,0
matt_fish080,Creators & Celebrities,344,334,False,False,0,https://soundcloud.com/user-743953179/bliss,25,54.583333333333336,5.25
jonesti_,Creators & Celebrities,3204,743,False,False,4,,53,594.3333333333334,15.333333333333334
kathryn.macphee,,521,583,False,False,0,,68,148.16666666666666,10.75
gitansh10,,340,455,False,True,0,,129,0,0
photo_maitrix,,105,142,False,False,6,,29,24.166666666666668,0.5833333333333334
danpast88,,60,568,False,True,0,,24,0,0
bilgeja_,,243,482,False,False,2,,119,32.833333333333336,0.9166666666666666
taixhi,General Interest,2638,346,False,False,2,http://taichikato.com/daydreaming,229,277.0,18.583333333333332
heshsene,,489,894,False,True,0,https://www.instagram.com/heshan_photos,9,0,0
evaelisabethanne,,968,2190,False,False,43,,939,202.66666666666666,5.416666666666667
nairolee,,220,256,False,True,0,,0,0,0
korryvreckan,,280,202,False,False,0,,195,60.25,3.0
emily.heskamp,,489,435,False,False,2,,22,125.33333333333333,8.583333333333334
rico62,,293,200,False,False,0,,2390,15.75,0.5
wattsuphw,Local Events,377,1047,False,False,0,,393,53.5,3.0
_bakra420_,General Interest,1030,665,False,False,14,,230,345.1666666666667,38.333333333333336
lethopeburn_,,494,544,False,False,1,,373,71.0,1.75
b__c_,,52,257,False,False,8,,160,9.083333333333334,1.0
aansh.raiyani,,946,816,False,True,0,,42,0,0
pagona_tr,,388,590,False,True,0,,801,0,0
hemera.photo,Creators & Celebrities,17,120,False,False,0,,12,28.166666666666668,1.6666666666666667
anandasim,Creators & Celebrities,436,1442,False,False,0,https://Anandasim.blogspot.com/,1094,35.083333333333336,1.3333333333333333
thehoodsnake,Creators & Celebrities,10554,526,False,False,0,,409,167.91666666666666,8.666666666666666
eenock_,General Interest,5232,1362,False,False,0,,1182,44.083333333333336,2.3333333333333335
johnteoh73,,163,173,False,False,0,,329,14.333333333333334,1.75
anttonisevakivi,Creators & Celebrities,4479,689,False,False,6,,361,187.58333333333334,3.0
__capture.themoment__,,44,61,False,False,0,,36,13.0,0.75
vonnnw,,1052,869,False,False,10,http://vonderfulife.wordpress.com/,332,117.08333333333333,2.5833333333333335
jacscc,,909,750,False,False,2,https://www.jochavez.com/,107,180.08333333333334,8.25
tsubasa34,,470,576,False,False,5,,862,43.916666666666664,1.3333333333333333
brashamph,Creators & Celebrities,444,500,False,False,9,http://www.twitch.tv/brashamph,15,52.583333333333336,3.75
bonx_dc,General Interest,1176,903,False,False,4,,328,198.25,5.666666666666667
maulanafrkn,General Interest,642,724,False,False,3,https://my.w.tt/TDaZsPvDoT,5,193.4,36.0
ap3rture_,Creators & Celebrities,226,474,False,False,1,http://harryblackley.weebly.com/,179,50.166666666666664,3.9166666666666665
adrian_cw,General Interest,5450,703,False,False,0,,350,872.75,37.0
vpopa13,,112,240,False,False,0,,185,27.5,0.5
mohamad.saedy,,282,523,False,False,2,,49,79.41666666666667,4.583333333333333
coh__t,,669,612,False,False,8,,42,53.25,0.3333333333333333
gicarlos27,Creators & Celebrities,3685,684,False,False,0,,534,156.33333333333334,26.083333333333332
kironc,,625,3000,False,False,7,,183,138.58333333333334,5.0
finbarlewis,Creators & Celebrities,2061,1446,False,False,10,https://finbartlewis.wixsite.com/finbarlewis,264,466.75,49.75
surya_vip,,186,447,False,False,0,https://play.google.com/store/apps/details?id=com.boostedcode.et2018,93,41.166666666666664,0.6666666666666666
manohara_krishna,,90,249,False,True,0,,10,0,0
you_and_the_night,,518,931,False,True,0,,11,0,0
coolpix67,,366,604,False,True,0,,5387,0,0
mrs_b.juice,Creators & Celebrities,202,110,False,False,4,,163,29.083333333333332,1.75
agofoto,,1502,805,False,False,11,http://www.apimages.com/,2151,70.33333333333333,5.416666666666667
sam.hong,Personal Goods & General Merchandise Stores,1124,584,False,False,10,,1192,118.33333333333333,6.5
derschmidtmitdt,,508,478,False,False,0,,296,69.0,3.6666666666666665
elspethvines_ru,,1439,532,False,False,0,,468,129.41666666666666,38.166666666666664
dead.rum,General Interest,2986,993,False,False,0,,229,399.5,10.0
cashberzins,,1162,3160,False,True,0,,2,0,0
outwornbrain,General Interest,273,482,False,False,4,,26,161.25,5.416666666666667
hanifalkaf,Creators & Celebrities,1801,834,False,False,5,http://Youtube.com/hanifalkaf23,449,204.25,22.833333333333332
heredom.camille,,811,2466,False,False,7,,317,41.75,1.0
nayelisimon,,876,2085,False,False,5,https://www.behance.net/nayelis,349,37.75,0.6666666666666666
larissagnvs,,629,564,False,False,6,,28,141.5,5.166666666666667
david_lu_7,,409,563,False,True,0,,0,0,0
ronanlessoften,,386,564,False,False,1,,36,107.33333333333333,1.75
ffwd.lifestyle,Creators & Celebrities,34,145,False,False,0,,12,29.833333333333332,7.416666666666667
_vixky__li,,1132,1098,False,True,0,,27,0,0
dave.poxon,Creators & Celebrities,19673,2515,False,False,1,http://www.lanzaroteproductions.com/,79,1469.4166666666667,38.916666666666664
ericleroyphotographies,,506,708,False,False,0,http://www.eric-leroy.fr/,630,43.083333333333336,1.3333333333333333
sirogiannopoulos,,627,774,False,False,0,,109,145.08333333333334,3.0833333333333335
capturandoinstantes11,Creators & Celebrities,443,454,False,False,1,http://Fotograf.io/,460,53.416666666666664,2.8333333333333335
twisted__pixels,Creators & Celebrities,1133,1281,False,False,2,http://www.behance.net/rainynavin9681,414,95.5,4.833333333333333
drphotoco,Creators & Celebrities,1430,1355,False,False,0,,822,36.583333333333336,1.6666666666666667
monica.peccolo,Creators & Celebrities,294,389,False,False,5,https://linktr.ee/monica.peccolo,277,38.5,1.4166666666666667
hassan_naqvi_photography,General Interest,3562,7123,False,False,4,,204,60.5,2.9166666666666665
ccondon_,Creators & Celebrities,5168,983,False,False,4,http://youtube.com/c/chriscondon,195,181.41666666666666,3.4166666666666665
dennotthen,,316,640,False,False,2,,103,26.833333333333332,0.4166666666666667
zhisthere,,829,2223,False,False,0,,1842,48.25,1.0833333333333333
debhaller,,509,1161,False,False,0,,1838,45.666666666666664,5.416666666666667
stadicam_,,510,480,False,False,0,,295,56.583333333333336,2.5
lightmovesphotography,,117,671,False,False,0,http://lightmovesphotography.com/,77,15.25,0.4166666666666667
elias_fahed,,398,581,False,False,0,,213,82.66666666666667,12.666666666666666
wanfaisalludinclicks,Creators & Celebrities,1066,1444,False,False,4,http://wanfaisalludin.blogspot.my/,768,43.25,1.75
paulcowellphotography,Creators & Celebrities,4393,7467,False,False,1,http://www.paulcowellphotography.com/,502,188.58333333333334,1.4166666666666667
qx.png,Creators & Celebrities,418,1305,False,False,0,,32,154.83333333333334,12.833333333333334
gamecentral27,General Interest,10725,5273,False,False,1,,76,322.0833333333333,4.666666666666667
jossreed89,,469,708,False,False,1,http://www.jossaneurin.com/,698,52.083333333333336,3.1666666666666665
silke_kleberg,,82,287,False,False,0,,191,10.916666666666666,0.75
sanjanaxlahiri,,552,812,False,False,0,,35,105.66666666666667,2.5
