username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
tinson_productions__,Creators & Celebrities,3969,4680,False,False,0,,24,80.58333333333333,4.833333333333333
scumbagworld,Publishers,10334,5971,False,False,9,http://SCUMBAGMAGAZINE.net/,84,592.4166666666666,15.083333333333334
cristiano.dangelo,Creators & Celebrities,10512,950,False,False,15,,340,643.6666666666666,50.833333333333336
showyourtravelpics,Creators & Celebrities,3320,1086,False,False,0,,237,1686.1666666666667,71.08333333333333
eco.belfast,Business & Utility Services,638,662,False,False,3,http://facebook.com/eco.belfast,24,82.58333333333333,5.833333333333333
tom.ferra,Creators & Celebrities,3467,304,False,False,5,http://tomferra.com/,136,181.75,10.916666666666666
marie_johanna_photographer,Creators & Celebrities,1964,1316,False,False,0,,69,315.6666666666667,18.416666666666668
blacklistproductionhouse,,1419,2550,False,False,2,https://youtu.be/SjJHH_TuI-8,656,117.83333333333333,6.416666666666667
wow_its_kris,Creators & Celebrities,4569,2597,False,False,7,,864,515.3333333333334,6.416666666666667
cancianmatteo,,6285,2056,False,False,0,,123,514.9166666666666,10.5
nicepage_website_builder,,211,2275,False,False,0,http://bit.ly/nicepage-website-builder,14,51.5,5.0
hellosussieee,,1156,1335,False,False,2,,27,495.5,56.416666666666664
alemdoolharexpo,,350,2054,False,False,2,http://www.rodrigoalbertini.com.br/,99,27.333333333333332,1.1666666666666667
mockup_psd,,1315,2765,False,False,0,https://www.amazon.co.uk/shop/kikebain,35,240.91666666666666,12.333333333333334
focus_2infinity,Creators & Celebrities,249,998,False,False,1,,47,80.58333333333333,2.8333333333333335
mattitanned,,91,59,False,False,0,,0,0,0
vdunnphotography,Creators & Celebrities,3162,3927,False,False,0,http://victordunn.vsco.co/,36,783.3333333333334,52.583333333333336
pegwork,,5875,5165,False,False,0,,77,1157.0833333333333,93.91666666666667
ilbreebchi,,527,1069,False,False,1,,86,19.333333333333332,1.3333333333333333
_bonehawk,,220,400,False,False,0,https://goo.gl/l2WIK2,247,18.666666666666668,1.0833333333333333
jonsaq,,721,1334,False,False,9,http://www.jonsaquing.com/,939,59.5,1.5833333333333333
theapjournalist,,1325,2264,False,False,0,http://pengdigital.com/,1817,98.91666666666667,2.8333333333333335
photographer_my_love,,9430,1676,False,False,0,,602,630.9166666666666,9.833333333333334
adityashankhdhar2001,General Interest,847,525,False,False,0,,31,122.5,12.083333333333334
lorenzocorvagliax2,Creators & Celebrities,1374,3184,False,False,3,,21,577.0,36.666666666666664
hotyogabelfast,Home Services,6825,2925,False,False,14,http://www.facebook.com/hotyogabelfast,742,151.75,6.25
travelling_passports,,4482,3991,False,False,7,,506,490.75,7.416666666666667
baurland,Creators & Celebrities,786,5060,False,False,3,,23,134.41666666666666,13.0
blackouttphh,General Interest,69,216,False,False,0,,9,28.444444444444443,2.111111111111111
____siwak____,,508,1922,False,False,0,,181,116.25,3.4166666666666665
andmaresc_photos,Creators & Celebrities,605,1022,False,False,0,,17,263.5833333333333,8.166666666666666
roncomex_64935283,,14,501,False,False,0,,1,3.0,1.0
academic_star19,,46,3216,False,False,0,,12,4.666666666666667,0.08333333333333333
orcha86,,667,6420,False,False,0,,88,131.16666666666666,7.25
luigitrevisi,Creators & Celebrities,6619,873,False,False,7,https://www.luigitrevisi.com/,81,2036.5833333333333,85.16666666666667
mark_zelinski_photographic,Creators & Celebrities,676,3301,False,False,0,http://www.MarkZelinski.com/,123,31.5,0.5833333333333334
formansphoto,Creators & Celebrities,590,737,False,False,0,https://www.formansphoto.com/,210,154.08333333333334,5.333333333333333
ro.ro.fit,Personal Goods & General Merchandise Stores,1088,1322,False,False,2,https://www.facebook.com/rominaruzicfitness/,133,60.5,2.1666666666666665
kalihart,Creators & Celebrities,17102,1893,False,False,5,https://m.youtube.com/watch?v=a7lGBKY2QTM,428,1540.1666666666667,39.333333333333336
kazuks24,,280,321,False,True,0,,1,0,0
teresita_apartment_,Transportation & Accomodation Services,779,3265,False,False,1,https://ru.airbnb.com/rooms/17485822,7,93.14285714285714,2.7142857142857144
lindsayfrancisthompson,,214,931,False,True,0,,14,0,0
gianolis,Creators & Celebrities,1609,5574,False,False,5,http://giacomogiannini.com/,132,249.25,8.916666666666666
danielecagnazzophotography,Creators & Celebrities,10406,6358,False,False,9,http://danielecagnazzo.com/,345,726.5833333333334,10.75
olympusenthusiast,Personal Goods & General Merchandise Stores,231,845,False,False,0,http://www.olympusenthusiast.com/,41,31.5,1.25
amelie_ployez,Creators & Celebrities,231,185,False,False,4,https://www.youtube.com/channel/UCMZ1YF4baLk9b5y_x_jFquw,41,97.41666666666667,5.666666666666667
markfaustphotography,Creators & Celebrities,344,1278,False,False,0,http://markfaustphoto.com/,232,61.833333333333336,2.6666666666666665
iulianbaltaretu,,38436,4138,False,False,6,,297,1644.75,45.833333333333336
_drawingin,General Interest,400,2437,False,False,1,,13,66.58333333333333,1.5833333333333333
yinss,,2378,1062,False,False,0,https://www.facebook.com/sathirat,354,164.58333333333334,8.833333333333334
